racer_id,jyo_cd,form_venue_win_5,form_venue_top2_5
2000,01,0.0,0.4
2000,02,0.0,0.2
2000,03,0.0,0.0
2000,04,0.0,0.0
2000,05,1.0,1.0
2000,06,0.0,0.6
2000,07,0.2,0.4
2000,08,0.0,0.2
2000,09,0.6666666666666666,0.6666666666666666
2000,10,0.0,0.0
2000,11,0.2,0.2
2000,12,0.0,0.0
2000,13,0.2,0.2
2000,14,0.0,0.0
2000,15,0.0,0.0
2000,16,0.2,0.2
2000,17,0.0,0.0
2000,18,0.0,0.2
2000,19,0.25,0.5
2000,20,0.2,0.2
2000,21,0.5,1.0
2000,22,0.0,0.2
2000,23,0.2,0.4
2000,24,0.0,0.4
2001,01,0.2,0.6
2001,02,0.2,0.4
2001,03,0.4,0.6
2001,04,0.0,0.4
2001,05,0.0,0.0
2001,06,0.2,0.6
2001,07,0.4,0.6
2001,08,0.0,0.5
2001,09,0.0,0.5
2001,10,0.0,0.0
2001,11,0.2,0.4
2001,12,0.2,0.4
2001,13,0.0,0.5
2001,14,0.2,0.2
2001,15,0.0,0.0
2001,16,0.0,0.0
2001,17,0.6,0.8
2001,18,0.5,0.5
2001,19,0.5,0.5
2001,20,0.25,0.5
2001,21,0.0,0.4
2001,22,0.0,0.2
2001,23,0.2,0.4
2001,24,0.0,0.2
2002,01,0.25,0.5
2002,02,0.5,0.5
2002,03,0.5,0.5
2002,04,0.2,0.4
2002,05,0.0,0.2
2002,06,0.0,0.0
2002,07,0.3333333333333333,0.6666666666666666
2002,08,0.2,0.6
2002,09,0.0,0.2
2002,10,0.4,0.4
2002,11,0.0,0.0
2002,12,0.0,0.0
2002,13,0.3333333333333333,0.3333333333333333
2002,14,0.2,0.2
2002,15,0.0,0.0
2002,16,0.0,0.0
2002,17,0.4,0.6
2002,18,0.25,0.25
2002,19,0.0,0.2
2002,20,0.2,0.6
2002,21,0.0,0.0
2002,22,0.5,1.0
2002,23,0.6,0.8
2002,24,0.2,0.2
2003,01,0.2,0.4
2003,02,0.3333333333333333,0.3333333333333333
2003,03,0.2,0.2
2003,04,0.0,0.4
2003,05,0.0,0.25
2003,06,0.2,0.6
2003,07,0.2,0.2
2003,08,0.25,0.25
2003,09,0.2,0.6
2003,10,0.4,0.8
2003,11,0.6,0.6
2003,12,0.0,0.4
2003,13,0.6,0.6
2003,14,0.3333333333333333,0.3333333333333333
2003,15,0.2,0.4
2003,16,0.2,0.8
2003,17,0.2,0.2
2003,18,0.0,0.0
2003,19,0.2,0.4
2003,20,0.0,0.2
2003,21,0.2,0.2
2003,22,0.0,0.6
2003,23,0.4,0.4
2003,24,0.6,0.6
2004,01,0.0,0.6666666666666666
2004,02,0.0,0.2
2004,03,0.2,0.2
2004,04,0.0,0.0
2004,05,0.0,0.0
2004,06,0.2,0.4
2004,07,0.0,0.2
2004,08,0.0,0.2
2004,09,0.0,0.2
2004,10,0.0,0.0
2004,11,0.0,0.0
2004,12,0.3333333333333333,0.3333333333333333
2004,13,0.6,0.8
2004,14,0.4,0.6
2004,15,0.3333333333333333,0.3333333333333333
2004,16,0.2,0.2
2004,17,0.4,0.4
2004,18,0.2,0.2
2004,19,0.0,0.0
2004,20,0.2,0.6
2004,21,0.0,0.25
2004,22,0.0,0.2
2004,23,0.2,0.4
2004,24,0.2,0.4
2005,01,0.2,0.2
2005,02,0.25,0.25
2005,03,0.2,0.6
2005,04,0.0,0.25
2005,05,0.2,0.2
2005,06,0.0,0.25
2005,07,0.0,0.4
2005,08,0.2,0.6
2005,09,0.0,0.0
2005,10,0.2,0.4
2005,11,0.0,0.5
2005,12,0.2,0.4
2005,13,0.2,0.6
2005,14,0.6666666666666666,0.6666666666666666
2005,15,0.0,0.75
2005,16,0.0,0.0
2005,17,0.0,0.0
2005,18,0.4,0.4
2005,19,0.25,0.25
2005,20,0.0,0.2
2005,21,0.0,0.25
2005,22,0.0,0.3333333333333333
2005,23,0.5,1.0
2005,24,0.0,0.2
2006,01,0.0,0.0
2006,02,0.2,0.8
2006,03,0.0,0.2
2006,04,0.6,0.6
2006,05,0.0,0.4
2006,06,0.2,0.2
2006,07,0.2,0.4
2006,08,0.4,0.6
2006,09,0.0,0.3333333333333333
2006,10,0.2,0.2
2006,11,0.0,0.2
2006,12,0.2,0.4
2006,13,0.2,0.4
2006,14,0.0,0.0
2006,15,0.4,0.4
2006,16,0.25,0.25
2006,17,0.0,0.0
2006,18,0.0,0.0
2006,19,0.4,0.4
2006,20,0.0,0.4
2006,21,0.2,0.4
2006,22,0.0,0.0
2006,23,0.0,0.0
2006,24,0.25,0.25
2007,01,0.5,0.5
2007,02,0.0,0.0
2007,03,0.0,0.2
2007,04,0.2,0.6
2007,05,0.4,0.4
2007,06,0.0,0.6
2007,07,0.0,0.2
2007,08,0.0,0.4
2007,09,0.0,0.2
2007,10,0.0,0.2
2007,11,0.5,1.0
2007,12,0.0,0.5
2007,13,0.0,0.0
2007,14,0.0,0.2
2007,15,0.2,0.4
2007,16,0.0,0.25
2007,17,0.0,1.0
2007,18,0.5,0.5
2007,19,0.2,0.2
2007,20,0.6,0.8
2007,21,0.6,0.6
2007,22,0.2,0.2
2007,23,0.0,0.2
2007,24,0.0,0.0
2008,01,0.0,0.4
2008,02,0.25,0.25
2008,03,0.0,0.0
2008,04,0.0,0.0
2008,05,0.0,0.2
2008,06,0.0,0.4
2008,07,0.0,0.0
2008,08,0.2,0.4
2008,09,0.2,0.4
2008,10,0.2,0.2
2008,11,0.0,0.6666666666666666
2008,12,0.5,0.5
2008,13,0.3333333333333333,1.0
2008,14,0.2,0.4
2008,15,0.3333333333333333,0.3333333333333333
2008,16,0.0,0.0
2008,17,0.0,0.0
2008,18,0.5,0.5
2008,19,0.2,0.6
2008,20,0.0,0.0
2008,21,0.3333333333333333,0.3333333333333333
2008,22,0.0,0.4
2008,23,0.2,0.2
2008,24,0.25,0.75
2009,01,0.4,0.8
2009,02,0.0,0.2
2009,03,0.0,0.4
2009,04,0.0,0.25
2009,05,0.0,0.4
2009,06,0.6,1.0
2009,07,0.0,0.0
2009,08,0.0,0.0
2009,09,0.3333333333333333,0.6666666666666666
2009,10,0.2,0.2
2009,11,0.2,0.2
2009,12,0.2,0.2
2009,13,0.5,1.0
2009,14,0.0,0.4
2009,15,0.0,0.0
2009,16,0.2,0.2
2009,17,0.0,0.2
2009,18,0.4,0.4
2009,19,0.0,0.0
2009,20,0.3333333333333333,0.6666666666666666
2009,21,0.0,0.25
2009,22,0.2,0.4
2009,23,0.0,0.2
2009,24,0.25,0.25
2010,01,0.0,0.0
2010,02,0.0,0.0
2010,03,0.2,0.4
2010,04,0.0,0.4
2010,05,0.0,0.4
2010,06,0.2,0.2
2010,07,0.25,0.25
2010,08,0.3333333333333333,0.3333333333333333
2010,09,0.25,0.5
2010,10,0.2,0.4
2010,11,0.2,0.2
2010,12,0.2,0.2
2010,13,0.2,0.4
2010,14,0.2,0.4
2010,15,0.2,0.4
2010,16,0.0,0.6
2010,17,0.0,0.2
2010,18,0.4,0.6
2010,19,0.2,0.6
2010,20,0.2,0.4
2010,21,0.0,0.0
2010,22,0.0,0.4
2010,23,0.0,0.3333333333333333
2010,24,0.0,0.2
2011,01,0.2,0.4
2011,02,0.0,0.5
2011,03,0.4,0.4
2011,04,0.5,0.5
2011,05,0.4,0.4
2011,06,0.2,0.2
2011,07,0.0,0.2
2011,08,0.0,0.0
2011,09,0.75,1.0
2011,10,0.0,0.6
2011,11,0.0,0.2
